amc_id,firm_name,legal_name,clean_name,base_domain,sitemap_url,sitemap_type,sitemap_verified
3,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life,mutualfund.adityabirlacapital.com,https://mutualfund.adityabirlacapital.com/sitemap.xml,xml,True
4,Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Asset Management India Private Limited,Baroda BNP Paribas,barodabnpparibasmf.in,https://www.barodabnpparibasmf.in/sitemap.xml,xml,True
6,DSP Mutual Fund,DSP Asset Managers Private Limited,DSP,dspim.com,https://www.dspim.com/sitemap.xml,xml,True
9,HDFC Mutual Fund,HDFC Asset Management Company Limited,HDFC,hdfcfund.com,https://hdfcfund.com/sitemap.xml,xml,False
13,quant Mutual Fund,quant Money Managers Limited,quant,quantmutual.com,https://quantmutual.com/sitemap.xml,xml,True
16,JM Financial Mutual Fund,JM Financial Asset Management Limited,JM Financial,jmfinancialmf.com,https://www.jmfinancialmf.com/sitemap.xml,xml,True
17,Kotak Mahindra Mutual Fund,Kotak Mahindra Asset Management Company Limited.,Kotak Mahindra,kotakmf.com,https://www.kotakmf.com/sitemap.xml,xml,True
18,LIC Mutual Fund,LIC Mutual Fund Asset Management Limited,LIC,licmf.com,https://www.licmf.com/sitemap.xml,xml,True
20,ICICI Prudential Mutual Fund,ICICI Prudential Asset Management Company Limited,ICICI Prudential,icicipruamc.com,https://icicipruamc.com/sitemap.xml,xml,False
21,Nippon India Mutual Fund,Nippon Life India Asset Management Limited,Nippon India,mf.nipponindiaim.com,https://mf.nipponindiaim.com:443/sitemap.xml,xml,True
22,SBI Mutual Fund,SBI Funds Management Limited,SBI,sbimf.com,https://www.sbimf.com/sitemap.xml,xml,True
25,Tata Mutual Fund,Tata Asset Management Limited,Tata,tatamutualfund.com,https://www.tatamutualfund.com/sitemap.xml,xml,True
26,Taurus Mutual Fund,Taurus Asset Management Company Limited,Taurus,taurusmutualfund.com,https://taurusmutualfund.com/sitemap,html,True
27,Franklin Templeton Mutual Fund,Franklin Templeton Asset Management (India) Private Limited,Franklin Templeton,franklintempletonindia.com,https://franklintempletonindia.com/sitemap.xml,xml,False
28,UTI Mutual Fund,UTI Asset Mgmt. Co. Ltd.,UTI,utimf.com,https://utimf.com/sitemap.xml,xml,False
32,Canara Robeco Mutual Fund,Canara Robeco Asset Management Company Limited,Canara Robeco,canararobeco.com,https://www.canararobeco.com/sitemap.xml,xml,True
33,Sundaram Mutual Fund,Sundaram Asset Management Company Ltd,Sundaram,sundarammutual.com,https://sundarammutual.com/sitemap.xml,xml,False
37,HSBC Mutual Fund,HSBC Asset Management (India) Private Ltd.,HSBC,assetmanagement.hsbc.co.in,https://assetmanagement.hsbc.co.in/sitemap.xml,xml,False
41,Quantum Mutual Fund,Quantum Asset Management Company Private Limited,Quantum,quantumamc.com,https://www.quantumamc.com/sitemap.xml,xml,True
42,Invesco Mutual Fund,Invesco Asset Management (India) Private Limited,Invesco,invescomutualfund.com,https://www.invescomutualfund.com/sitemap.xml,xml,True
45,Mirae Asset Mutual Fund,Mirae Asset Investment Managers (India) Pvt. Ltd,Mirae Asset,miraeassetmf.co.in,https://www.miraeassetmf.co.in/sitemap.xml,xml,True
46,Bank of India Mutual Fund,Bank of India Investment Managers Private Limited,Bank of India,boimf.in,https://www.boimf.in/sitemap.xml,xml,True
47,Edelweiss Mutual Fund,Edelweiss Asset Management Limited,Edelweiss,edelweissmf.com,https://www.edelweissmf.com/sitemap.xml,xml,True
48,Bandhan Mutual Fund,Bandhan AMC Limited,Bandhan,bandhanmutual.com,https://bandhanmutual.com/sitemap.xml,xml,True
53,Axis Mutual Fund,Axis Asset Management Co. Ltd.,Axis,axismf.com,https://www.axismf.com/sitemap-index.xml,xml,True
