firm_name,manager_name,designation,email,location,source_url
360 ONE Mutual Fund,Aakash Desai,CIO,,Delhi,https://www.360.one/leadership
360 ONE Mutual Fund,Anup Maheshwari,CIO,,Delhi,https://www.360.one/leadership
360 ONE Mutual Fund,Deepak Aswani,CIO,,Delhi,https://www.360.one/leadership
360 ONE Mutual Fund,Pritam Doshi,CIO,,Delhi,https://www.360.one/leadership
360 ONE Mutual Fund,Sameer Nath,CIO,,Delhi,https://www.360.one/leadership
Aditya Birla Sun Life Mutual Fund,Abhinav Khandelwal,Senior Fund Manager,,,https://mutualfund.adityabirlacapital.com/about-us/investment-team
Aditya Birla Sun Life Mutual Fund,Anuj Jain,Fund Manager,,,https://mutualfund.adityabirlacapital.com/about-us/investment-team
Aditya Birla Sun Life Mutual Fund,Bhupesh Bameta,Fund Manager,,,https://mutualfund.adityabirlacapital.com/about-us/investment-team
Aditya Birla Sun Life Mutual Fund,Chanchal Khandelwal,Fund Manager,,,https://mutualfund.adityabirlacapital.com/about-us/investment-team
Aditya Birla Sun Life Mutual Fund,Dhaval Gala,Fund Manager,,,https://mutualfund.adityabirlacapital.com/about-us/investment-team
Aditya Birla Sun Life Mutual Fund,Dhaval Joshi,Fund Manager,,,https://mutualfund.adityabirlacapital.com/about-us/investment-team
Aditya Birla Sun Life Mutual Fund,Dhaval Shah,Fund Manager,,,https://mutualfund.adityabirlacapital.com/about-us/investment-team
Aditya Birla Sun Life Mutual Fund,Dilip Zujam,Fund Manager,,,https://mutualfund.adityabirlacapital.com/about-us/investment-team
Aditya Birla Sun Life Mutual Fund,Harish Krishnan,Chief Investment Officer,,,https://mutualfund.adityabirlacapital.com/about-us/leadership-team
Aditya Birla Sun Life Mutual Fund,Harshil Suvarnkar,Fund Manager,,,https://mutualfund.adityabirlacapital.com/about-us/investment-team
Aditya Birla Sun Life Mutual Fund,Jonas Bhutta,Fund Manager,,,https://mutualfund.adityabirlacapital.com/about-us/investment-team
Aditya Birla Sun Life Mutual Fund,Kartikeya Singh,Fund Manager,,,https://mutualfund.adityabirlacapital.com/about-us/investment-team
