sebi_id,name,reg_no,category,contact_person,email,telephone,fax,website,domain,pincode,city,state,address,correspondence_address,validity,sebi_type
1,360 ONE Mutual Fund,MF/067/11/02,,,,,,,,400013,Mumbai,Maharashtra,"360 One Centre, Kamala City, Senapati Bapat Marg, Lower Parel, Mumbai, MAHARASHTRA, 400013",,"Mar 23, 2011 - Perpetual",mutual-funds
2,Abakkus Mutual Fund,MF/088/25/14,,,,,,,,400055,Mumbai,Maharashtra,"Abakkus Corporate Center, 6th Floor, Param House, Shanti Nagar, Off Santacruz Chembur Link Road, Santacruz East, MUMBAI, MAHARASHTRA, 400055",,"Aug 29, 2025 - Perpetual",mutual-funds
3,ADITYA BIRLA SUN LIFE MF,MF/020/94/8,,,,,,,,400013,Mumbai,Maharashtra,"One Indiabulls Centre, Tower 1, 17th Floor, Jupiter Mill Compound, 841, , Senapati Bapat Marg, Elphinstone Road, MUMBAI, MAHARASHTRA, 400013",,"Dec 23, 1994 - Perpetual",mutual-funds
4,AlphaGrep Mutual Fund,MF/090/26/16,,,,,,,,400051,Mumbai,Maharashtra,"1408, 14th Floor, Parinee Crescenzo, E, G Block, BKC, Bandra East, MUMBAI, MAHARASHTRA, 400051",,"Mar 11, 2026 - Perpetual",mutual-funds
5,Angel One Mutual Fund,MF/083/24/09,,,,,,,,400093,Mumbai,Maharashtra,"G-1, Ground floor, Ackruti Trade Centre, Road no. 7, Kondivita, MIDC, Andheri East, Mumbai, MUMBAI, MAHARASHTRA, 400093",,"Nov 25, 2024 - Perpetual",mutual-funds
6,ASK Mutual Fund,MF/089/26/15,,,,,,,,400030,Mumbai,Maharashtra,"Birla Aurora, 16 Level office, Floor 9, Dr. Annie Besant Road, Century Mill, MUMBAI, MAHARASHTRA, 400030",,"Feb 16, 2026 - Perpetual",mutual-funds
7,AXIS MF,MF/061/09/02,,,,,,,,400013,Mumbai,Maharashtra,"One Lodha Place, 22 & 23 Floor, Senapati Bapat Marg,Lower Parel, MUMBAI, MAHARASHTRA, 400013",,"Dec 04, 2009 - Perpetual",mutual-funds
8,BAJAJ FINSERV MUTUAL FUND,MF/078/23/04,,,,,,,,411032,Pune,Maharashtra,"1101A and 1101B, 11th Floor, Sky One Corporate Park, Tower 1, Pune, Survey No. 239/2, Sunset Blvd MHADA Colony, Lohegaon, Pune 411032, PUNE, MAHARASHTRA, 411032",,"Feb 28, 2023 - Perpetual",mutual-funds
9,Bandhan Mutual Fund,MF/042/00/3,,,,,,,,400013,Mumbai,Maharashtra,"6th Floor, One World Center, Jupiter Mills Compound, 841,, Senapati Bapat Marg, Elphinstone Road (West), MUMBAI, MAHARASHTRA, 400013",,"Mar 13, 2000 - Perpetual",mutual-funds
10,Bank of India Mutual Fund,MF/056/08/01,,,,,,,,400013,Mumbai,Maharashtra,"B/204, Tower 1, Peninsula Corporate Park, Ganpatrao Kadam Marg,  , Lower Parel, Mumbai 400013, MUMBAI, MAHARASHTRA, 400013",,"Mar 31, 2008 - Perpetual",mutual-funds
